team,value
Barcelona,30
Real Madrid,30
Sevilla,23
Ath Madrid,23
Valencia,22
Villarreal,16
Vallecano,15
Ath Bilbao,15
Malaga,14
Celta,13
Espanol,13
Elche,11
Sociedad,11
Getafe,10
Eibar,9
Levante,9
Almeria,8
Granada,7
La Coruna,7
Cordoba,3
