team,value
Getafe,132
Villarreal,117
Levante,110
Alaves,109
Valencia,106
Leganes,105
Girona,104
Sevilla,101
La Coruna,101
Malaga,100
Ath Madrid,96
Ath Bilbao,93
Betis,92
Las Palmas,89
Espanol,89
Celta,86
Eibar,84
Barcelona,67
Real Madrid,65
Sociedad,60
