team,value
Liverpool,265
Man City,257
Tottenham,254
Chelsea,240
Man United,228
Arsenal,227
Southampton,224
West Ham,224
Bournemouth,221
Crystal Palace,219
Everton,218
Leicester,197
Norwich,188
West Brom,188
Aston Villa,167
Watford,166
Swansea,163
Sunderland,160
Newcastle,158
Stoke,153
