team,value
Malaga,8
Levante,7
Villarreal,6
Leganes,5
Valencia,5
Sociedad,5
Getafe,5
Ath Madrid,5
Alaves,4
Real Madrid,4
Sevilla,3
Betis,3
Las Palmas,3
Eibar,3
Barcelona,2
La Coruna,2
Celta,1
Espanol,1
Girona,0
Ath Bilbao,0
