team,value
Man United,4
Bournemouth,1
Fulham,2
Huddersfield,4
Newcastle,2
Watford,4
Wolves,1
Arsenal,2
Liverpool,2
Southampton,3
Cardiff,1
Chelsea,0
Everton,4
Leicester,5
Tottenham,3
West Ham,1
Brighton,4
Burnley,1
Man City,1
Crystal Palace,2
