team,value
Bayern Munich,2
Fortuna Dusseldorf,1
Freiburg,3
Hertha,5
M'gladbach,0
Werder Bremen,3
Wolfsburg,0
Dortmund,3
Mainz,0
Hannover,4
Augsburg,1
Ein Frankfurt,3
Hoffenheim,2
Leverkusen,1
Nurnberg,4
Stuttgart,5
RB Leipzig,1
Schalke 04,5
