team,value
Monaco,92
Marseille,83
Caen,82
Dijon,79
Toulouse,78
Bordeaux,74
Nice,73
Nantes,72
Rennes,70
Nimes,70
Lille,69
Strasbourg,69
St Etienne,67
Reims,67
Paris SG,64
Amiens,62
Montpellier,61
Guingamp,58
Lyon,57
Angers,49
