team,value
Man City,32
Man United,25
Tottenham,23
Chelsea,21
Liverpool,21
Arsenal,19
Burnley,14
Everton,13
Newcastle,12
Leicester,12
Crystal Palace,11
Watford,11
Bournemouth,11
West Ham,10
Brighton,9
Huddersfield,9
Swansea,8
Southampton,7
Stoke,7
West Brom,6
