team,value
Granada,26
Osasuna,24
Sp Gijon,21
Celta,19
Betis,19
Leganes,19
Las Palmas,19
La Coruna,18
Valencia,18
Malaga,16
Eibar,14
Ath Bilbao,13
Sociedad,12
Espanol,12
Alaves,11
Villarreal,9
Sevilla,8
Ath Madrid,6
Barcelona,4
Real Madrid,3
