team,value
Juventus,33
Roma,26
Napoli,23
Fiorentina,19
Verona,16
Milan,16
Inter,15
Lazio,15
Parma,15
Torino,15
Atalanta,15
Sampdoria,12
Udinese,12
Genoa,11
Chievo,10
Cagliari,9
Sassuolo,9
Catania,8
Livorno,6
Bologna,5
