team,value
Hannover,23
Stuttgart,19
Werder Bremen,16
Ein Frankfurt,16
Hamburg,15
Hoffenheim,15
Augsburg,14
Darmstadt,14
Ingolstadt,14
Wolfsburg,13
M'gladbach,13
Mainz,12
Hertha,12
Schalke 04,12
FC Koln,11
Leverkusen,10
Dortmund,4
Bayern Munich,2
