team,value
Inter,230
Milan,223
Torino,222
Juventus,220
Roma,213
Fiorentina,212
Udinese,201
Sassuolo,199
Parma,195
Lazio,193
Chievo,190
Atalanta,190
Verona,187
Napoli,185
Livorno,180
Genoa,180
Catania,179
Sampdoria,173
Bologna,173
Cagliari,171
