,country_name,season,accuracy_percentage
4,Belgium,2012/2013,48.51063829787234
11,England,2012/2013,53.1578947368421
19,France,2012/2013,51.578947368421055
27,Germany,2012/2013,49.8360655737705
35,Italy,2012/2013,55.4089709762533
43,Netherlands,2012/2013,50.1639344262295
51,Portugal,2012/2013,55.00000000000001
59,Scotland,2012/2013,41.66666666666667
67,Spain,2012/2013,54.736842105263165
