,country_code,country_name,season,accuracy_percentage
1,Belgium,BEL,2009/2010,53.588516746411486
6,England,GBR ,2009/2010,55.52631578947368
11,France,FRA,2009/2010,50.65963060686016
16,Germany,DEU,2009/2010,49.01960784313725
21,Italy,ITA,2009/2010,55.93667546174142
26,Netherlands,NLD,2009/2010,63.1578947368421
31,Portugal,PRT,2009/2010,52.719665271966534
36,Scotland,SCOT,2009/2010,49.56140350877193
41,Spain,ESP,2009/2010,58.42105263157895
