,country_code,country_name,season,accuracy_percentage
4,Belgium,BEL,2012/2013,48.29059829059829
9,England,GBR ,2012/2013,53.421052631578945
14,France,FRA,2012/2013,51.578947368421055
19,Germany,DEU,2012/2013,49.8360655737705
24,Italy,ITA,2012/2013,55.145118733509236
29,Netherlands,NLD,2012/2013,51.147540983606554
34,Portugal,PRT,2012/2013,53.55648535564853
39,Scotland,SCOT,2012/2013,39.91228070175439
44,Spain,ESP,2012/2013,55.00000000000001
