,country_name,season,accuracy_percentage
0,Belgium,2008/2009,55.29801324503312
5,England,2008/2009,53.421052631578945
10,France,2008/2009,50.131926121372025
15,Germany,2008/2009,54.09836065573771
20,Italy,2008/2009,54.88126649076517
25,Netherlands,2008/2009,53.442622950819676
30,Portugal,2008/2009,57.14285714285714
35,Scotland,2008/2009,49.122807017543856
40,Spain,2008/2009,56.200527704485495
