,country_code,country_name,season,accuracy_percentage
3,Belgium,BEL,2011/2012,55.46218487394958
8,England,GBR ,2011/2012,52.10526315789473
13,France,FRA,2011/2012,51.84210526315789
18,Germany,DEU,2011/2012,50.326797385620914
23,Italy,ITA,2011/2012,50.42253521126761
28,Netherlands,NLD,2011/2012,59.150326797385624
33,Portugal,PRT,2011/2012,58.40336134453782
38,Scotland,SCOT,2011/2012,52.19298245614035
43,Spain,ESP,2011/2012,53.68421052631579
