name,pred,wrong_pred
Cagliari,10,28
Parma,11,27
Fiorentina,11,27
Verona,11,27
Bologna,12,26
Napoli,12,26
Lecce,13,25
Genoa,13,25
Udinese,13,25
Torino,13,25
Atalanta,13,25
Roma,14,24
Spal,15,23
Sassuolo,15,23
Sampdoria,16,22
Inter,17,21
Milan,17,21
Brescia,18,20
Lazio,18,20
Juventus,18,20
