name,pred,wrong_pred
Reims,9,20
Amiens,10,18
Bordeaux,10,18
Metz,11,16
Monaco,13,12
Brest,13,12
Nice,14,10
Dijon,14,10
St Etienne,14,10
Marseille,14,10
Lyon,15,8
Rennes,16,6
Angers,16,6
Strasbourg,16,6
Nimes,16,6
Lille,17,4
Nantes,17,4
Montpellier,18,2
Toulouse,19,0
Paris SG,22,-6
