name,correct_pred,wrong_pred
Sociedad,13,25
La Coruna,18,20
Granada,19,19
Ath Bilbao,19,19
Celta,19,19
Getafe,19,19
Malaga,20,18
Villarreal,20,18
Espanol,21,17
Vallecano,21,17
Eibar,21,17
Almeria,22,16
Cordoba,22,16
Valencia,22,16
Elche,23,15
Levante,23,15
Ath Madrid,25,13
Sevilla,27,11
Barcelona,31,7
Real Madrid,31,7
