name,correct_pred,wrong_pred
Burnley,20,18
Liverpool,20,18
Middlesbrough,20,18
Leicester,20,18
West Ham,20,18
Crystal Palace,20,18
Southampton,21,17
Bournemouth,21,17
Man United,21,17
Everton,21,17
West Brom,22,16
Watford,23,15
Man City,24,14
Stoke,24,14
Hull,25,13
Swansea,26,12
Arsenal,27,11
Sunderland,27,11
Tottenham,28,10
Chelsea,32,6
