name,correct_pred,wrong_pred
Rennes,15,23
Bastia,15,23
Caen,16,22
Nice,17,21
Nantes,17,21
Reims,19,19
Bordeaux,19,19
Lorient,20,18
Monaco,21,17
Guingamp,21,17
Toulouse,21,17
Montpellier,22,16
Metz,22,16
Lille,23,15
Lyon,23,15
St Etienne,23,15
Paris SG,24,14
Evian Thonon Gaillard,25,13
Lens,25,13
Marseille,26,12
