name,correct_pred,wrong_pred
Wolves,15,23
Southampton,17,21
West Ham,18,20
Brighton,18,20
Everton,19,19
Leicester,20,18
Crystal Palace,20,18
Newcastle,20,18
Man United,22,16
Watford,22,16
Burnley,22,16
Bournemouth,22,16
Chelsea,22,16
Cardiff,24,14
Arsenal,24,14
Huddersfield,26,12
Tottenham,27,11
Fulham,29,9
Liverpool,31,7
Man City,32,6
