name,correct_pred,wrong_pred
Montpellier,11,27
Angers,15,23
Nantes,16,22
Rennes,16,22
Bordeaux,17,21
Strasbourg,18,20
Nice,18,20
Guingamp,18,20
Amiens,19,19
Metz,20,18
St Etienne,21,17
Lille,21,17
Lyon,23,15
Toulouse,23,15
Marseille,24,14
Caen,24,14
Troyes,25,13
Monaco,26,12
Dijon,26,12
Paris SG,29,9
