name,correct_pred,wrong_pred
Hoffenheim,14,20
Nurnberg,15,19
Hertha,17,17
Augsburg,17,17
Werder Bremen,17,17
Freiburg,18,16
Leverkusen,18,16
Ein Frankfurt,18,16
Hamburg,18,16
M'gladbach,19,15
Wolfsburg,20,14
Braunschweig,21,13
Mainz,21,13
Stuttgart,21,13
Schalke 04,21,13
Hannover,22,12
Dortmund,22,12
Bayern Munich,29,5
