name,correct_pred,wrong_pred
Montpellier,11,27
Angers,15,23
Rennes,16,22
Nantes,17,21
Strasbourg,17,21
Bordeaux,17,21
Nice,18,20
Amiens,20,18
Guingamp,20,18
St Etienne,21,17
Metz,21,17
Lille,21,17
Lyon,23,15
Toulouse,23,15
Marseille,24,14
Troyes,24,14
Caen,24,14
Dijon,25,13
Monaco,26,12
Paris SG,29,9
