name,correct_pred,wrong_pred
Leverkusen,13,21
Schalke 04,13,21
Wolfsburg,15,19
Ein Frankfurt,15,19
Hoffenheim,15,19
M'gladbach,15,19
Ingolstadt,15,19
Augsburg,16,18
FC Koln,17,17
Werder Bremen,17,17
Hamburg,17,17
Freiburg,18,16
RB Leipzig,18,16
Dortmund,18,16
Mainz,22,12
Darmstadt,22,12
Hertha,25,9
Bayern Munich,25,9
