date,value
0,63.0
1,60.0
2,65.0
3,81.0
4,7.0
5,141.3
6,249.8
7,491.8
8,404.8
9,424.8
10,511.8
11,606.3
12,539.3
13,586.8
14,518.8
15,530.8
16,638.8
17,576.8
18,509.79999999999995
19,439.79999999999995
20,484.79999999999995
21,457.79999999999995
22,552.8
23,516.8
24,575.8
25,497.79999999999995
26,528.8
27,609.8
28,486.79999999999995
29,431.79999999999995
30,394.29999999999995
31,424.29999999999995
32,470.29999999999995
33,406.29999999999995
34,346.29999999999995

