,country_code,country_name,season,accuracy_percentage
5,Belgium,BEL,2014/2015,41.07142857142857
12,England,GBR ,2014/2015,45.0
19,France,FRA,2014/2015,55.10204081632652
26,Germany,DEU,2014/2015,30.76923076923077
33,Italy,ITA,2014/2015,57.89473684210527
40,Netherlands,NLD,2014/2015,51.11111111111111
47,Portugal,PRT,2014/2015,57.14285714285714
54,Scotland,SCOT,2014/2015,52.94117647058824
61,Spain,ESP,2014/2015,44.827586206896555
