,country_code,country_name,season,accuracy_percentage
0,Belgium,BEL,2008/2009,55.115511551155116
6,England,GBR ,2008/2009,53.68421052631579
13,France,FRA,2008/2009,50.3957783641161
20,Germany,DEU,2008/2009,52.28758169934641
27,Italy,ITA,2008/2009,55.52631578947368
34,Netherlands,NLD,2008/2009,52.78688524590164
41,Portugal,PRT,2008/2009,56.30252100840336
48,Scotland,GBBR,2008/2009,49.122807017543856
55,Spain,ESP,2008/2009,55.67282321899736
