,country_code,country_name,season,accuracy_percentage
11,England,GBR ,2013/2014,59.73684210526316
18,France,FRA,2013/2014,52.10526315789473
25,Germany,DEU,2013/2014,54.248366013071895
32,Italy,ITA,2013/2014,57.10526315789474
39,Netherlands,NLD,2013/2014,48.69281045751634
46,Portugal,PRT,2013/2014,54.20168067226891
53,Scotland,SCOT,2013/2014,55.26315789473685
60,Spain,ESP,2013/2014,53.68421052631579
