,country_code,country_name,season,accuracy_percentage
4,Belgium,BEL,2012/2013,48.08510638297872
11,England,GBR ,2012/2013,52.89473684210526
19,France,FRA,2012/2013,51.84210526315789
27,Germany,DEU,2012/2013,49.18032786885246
35,Italy,ITA,2012/2013,55.82010582010582
43,Netherlands,NLD,2012/2013,50.81967213114754
51,Portugal,PRT,2012/2013,55.00000000000001
59,Scotland,SCOT,2012/2013,41.228070175438596
67,Spain,ESP,2012/2013,54.35356200527705
