,country_code,country_name,season,accuracy_percentage
2,Belgium,BEL,2010/2011,54.166666666666664
9,England,GBR ,2010/2011,50.526315789473685
17,France,FRA,2010/2011,45.382585751978894
25,Germany,DEU,2010/2011,48.03921568627451
33,Italy,ITA,2010/2011,52.58855585831063
41,Netherlands,NLD,2010/2011,57.70491803278689
49,Portugal,PRT,2010/2011,51.88284518828452
57,Scotland,SCOT,2010/2011,57.01754385964912
65,Spain,ESP,2010/2011,60.78947368421053
