,country_name,season,accuracy_percentage
12,England,2013/2014,60.0
20,France,2013/2014,52.368421052631575
28,Germany,2013/2014,54.90196078431373
36,Italy,2013/2014,57.36842105263158
44,Netherlands,2013/2014,48.69281045751634
52,Portugal,2013/2014,53.55648535564853
60,Scotland,2013/2014,56.14035087719298
68,Spain,2013/2014,53.68421052631579
