,country_code,country_name,season,accuracy_percentage
6,Belgium,BEL,2015/2016,51.24999999999999
14,England,GBR ,2015/2016,47.368421052631575
22,France,FRA,2015/2016,49.473684210526315
30,Germany,DEU,2015/2016,52.28758169934641
38,Italy,ITA,2015/2016,53.562005277044854
46,Netherlands,NLD,2015/2016,55.73770491803278
54,Portugal,PRT,2015/2016,55.08196721311476
62,Scotland,SCOT,2015/2016,46.92982456140351
70,Spain,ESP,2015/2016,54.736842105263165
