country_code,country_name,season,accuracy_percentage
Belgium,BEL,2009/2010,53.333333333333336
England,GBR,2009/2010,55.00000000000001
France,FRA,2009/2010,51.71503957783641
Germany,DEU,2009/2010,48.69281045751634
Italy,ITA,2009/2010,56.08465608465608
Netherlands,NLD,2009/2010,63.278688524590166
Portugal,PRT,2009/2010,53.55648535564853
Scotland,SCOT,2009/2010,50.43859649122807
Spain,ESP,2009/2010,58.94736842105262
CHE,CHE,2009/2010,0.0
POL,POL,2009/2010,0.0
