,country_code,country_name,season,accuracy_percentage
4,Belgium,BEL,2012/2013,48.917748917748916
9,England,GBR ,2012/2013,53.03430079155673
14,France,FRA,2012/2013,51.05263157894737
19,Germany,DEU,2012/2013,50.1639344262295
24,Italy,ITA,2012/2013,55.58510638297872
29,Netherlands,NLD,2012/2013,51.47540983606558
34,Portugal,PRT,2012/2013,54.811715481171554
39,Scotland,GBBR,2012/2013,39.91228070175439
44,Spain,ESP,2012/2013,54.666666666666664
