,country_code,country_name,season,accuracy_percentage
5,Belgium,BEL,2014/2015,50.83333333333333
13,England,GBR ,2014/2015,53.1578947368421
21,France,FRA,2014/2015,54.736842105263165
29,Germany,DEU,2014/2015,51.633986928104584
37,Italy,ITA,2014/2015,46.965699208443276
45,Netherlands,NLD,2014/2015,53.973509933774835
53,Portugal,PRT,2014/2015,54.78547854785478
61,Scotland,SCOT,2014/2015,52.863436123348016
69,Spain,ESP,2014/2015,57.519788918205805
