,country_code,country_name,season,accuracy_percentage
6,Belgium,BEL,2015/2016,50.83333333333333
14,England,GBR ,2015/2016,47.63157894736842
22,France,FRA,2015/2016,49.340369393139845
30,Germany,DEU,2015/2016,52.614379084967325
38,Italy,ITA,2015/2016,53.421052631578945
46,Netherlands,NLD,2015/2016,54.248366013071895
54,Portugal,PRT,2015/2016,55.22875816993464
62,Scotland,SCOT,2015/2016,45.81497797356828
70,Spain,ESP,2015/2016,54.473684210526315
